日期	类型	数量
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/1	产品A	1481
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/1	产品B	882
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/1	产品C	1575
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/2	产品B	900
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/2	产品C	1532
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/3	产品A	1561
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/3	产品C	1551
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/4	产品A	1282
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/4	产品B	812
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/4	产品C	1518
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/5	产品B	880
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/6	产品A	1516
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/6	产品C	1564
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/7	产品A	1530
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/7	产品B	840
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/7	产品C	1515
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/8	产品A	1248
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/8	产品B	993
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/8	产品C	1530
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/9	产品A	1538
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/9	产品C	1589
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/10	产品A	1498
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/10	产品B	817
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/10	产品C	1595
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/11	产品A	1579
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/11	产品B	822
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/11	产品C	1531
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/12	产品B	840
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/12	产品C	1513
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/13	产品A	1565
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/13	产品B	840
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/13	产品C	1501
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/14	产品A	1463
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/14	产品B	934
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/14	产品C	1539
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/15	产品A	1429
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/15	产品B	819
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/16	产品A	1231
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/17	产品A	1354
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/17	产品B	911
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/17	产品C	1537
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/18	产品A	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/18	产品B	946
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/18	产品C	1588
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/19	产品A	1566
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/1/19	产品B	954
